,0,1,2,3,4,5,6,7,8,9,10,11
0,1600387200000,3.0888,3.2926,2.8050,3.1002,41039.60000000,1600473599999,124683.8036,714,26548.92000000,81833.3694,0
1,1600473600000,3.1002,3.2616,2.9846,3.0076,19297.28000000,1600559999999,59744.3755,686,7902.23000000,24579.4758,0
2,1600560000000,3.0042,3.0042,2.7550,2.8737,21274.03000000,1600646399999,60928.1154,387,7266.20000000,20715.0029,0
3,1600646400000,2.9110,3.0337,2.5500,2.7795,19867.49000000,1600732799999,55417.0202,345,10019.54000000,28579.9558,0
4,1600732800000,2.7378,3.0089,2.6593,2.9629,58835.67000000,1600819199999,168942.4414,435,12448.52000000,35901.7861,0
5,1600819200000,2.9325,3.0621,2.7329,2.8532,25445.61000000,1600905599999,74383.6764,274,7743.65000000,22668.3367,0
6,1600905600000,2.8478,3.2586,2.8020,3.1392,32796.21000000,1600991999999,100052.7620,354,13246.73000000,40329.2714,0
7,1600992000000,3.1528,3.2629,2.9174,3.1917,20746.01000000,1601078399999,64452.3593,220,8877.13000000,27967.8970,0
8,1601078400000,3.1900,3.2391,3.0439,3.1038,9278.48000000,1601164799999,29085.3547,131,5123.24000000,16054.5973,0
9,1601164800000,3.1593,3.1813,3.0196,3.1813,4461.14000000,1601251199999,13868.2575,65,1324.66000000,4166.8635,0
10,1601251200000,3.1793,3.2043,2.9222,2.9222,14336.12000000,1601337599999,43746.6475,91,2155.62000000,6628.6261,0
11,1601337600000,3.0028,3.0204,2.8872,2.9539,6916.57000000,1601423999999,20482.2339,71,4398.55000000,13043.6961,0
12,1601424000000,2.9451,2.9744,2.8334,2.8904,3858.20000000,1601510399999,11120.9026,51,2118.25000000,6095.3365,0
13,1601510400000,2.9060,2.9947,2.6701,2.8693,9768.98000000,1601596799999,27825.9093,176,4254.46000000,12027.2688,0
14,1601596800000,2.8524,2.8681,2.4332,2.6366,17160.88000000,1601683199999,45823.8398,296,9534.62000000,25833.4091,0
15,1601683200000,2.6358,2.6637,2.5700,2.5777,4192.39000000,1601769599999,10975.9698,55,1678.77000000,4406.1679,0
16,1601769600000,2.5363,2.5865,2.4332,2.5257,15997.29000000,1601855999999,40115.1742,144,9808.45000000,24637.4369,0
17,1601856000000,2.5341,2.6836,2.4652,2.6626,12588.02000000,1601942399999,32514.8113,262,9350.12000000,24164.1587,0
18,1601942400000,2.6463,2.6463,2.1402,2.1676,13944.27000000,1602028799999,33382.7615,248,8936.39000000,21477.3960,0
19,1602028800000,2.1499,2.4008,2.1100,2.2876,22610.15000000,1602115199999,51408.3139,131,17342.23000000,39396.4552,0
20,1602115200000,2.2909,2.4725,2.0237,2.3878,62202.14000000,1602201599999,141665.9627,2305,39789.20000000,90662.8613,0
21,1602201600000,2.3834,2.6366,2.3298,2.5676,30038.41000000,1602287999999,75434.3296,314,25609.82000000,64515.6075,0
22,1602288000000,2.5405,2.6000,2.3975,2.4118,12410.30000000,1602374399999,31052.0607,116,7840.72000000,19617.0316,0
23,1602374400000,2.3927,2.4485,2.3548,2.3991,13440.59000000,1602460799999,32117.0952,95,6235.16000000,14908.0854,0
24,1602460800000,2.4301,2.7049,2.4301,2.5865,34365.36000000,1602547199999,89005.7759,167,16156.76000000,41624.8942,0
25,1602547200000,2.5711,2.5711,2.3473,2.4001,35492.92000000,1602633599999,87331.9030,157,22670.86000000,55712.0831,0
26,1602633600000,2.4090,2.4400,2.2445,2.3163,16777.09000000,1602719999999,39122.1284,117,7776.04000000,18261.8147,0
27,1602720000000,2.2990,2.3234,2.2097,2.2816,8724.67000000,1602806399999,19818.5831,67,3457.37000000,7898.6274,0
28,1602806400000,2.2525,2.2525,2.1238,2.1362,125917.21000000,1602892799999,274937.0537,393,41706.32000000,90806.0228,0
29,1602892800000,2.1284,2.2303,2.1114,2.1901,15255.39000000,1602979199999,32990.8525,81,3431.86000000,7546.6133,0
30,1602979200000,2.2074,2.2576,2.2026,2.2104,6010.20000000,1603065599999,13331.9528,47,4227.32000000,9373.6263,0
31,1603065600000,2.2144,2.2184,2.0505,2.0505,14348.62000000,1603151999999,30183.2364,120,7064.16000000,14924.7828,0
32,1603152000000,2.0561,2.1043,1.8554,1.8930,26152.62000000,1603238399999,51128.7289,199,10737.83000000,21189.5700,0
33,1603238400000,1.9106,2.0991,1.8683,1.8853,61574.72000000,1603324799999,120634.9685,330,38111.54000000,75136.5395,0
34,1603324800000,1.9128,2.0857,1.8677,1.9549,22998.12000000,1603411199999,45069.4936,210,8379.28000000,16528.2640,0
35,1603411200000,1.9451,1.9888,1.8573,1.9586,13304.38000000,1603497599999,25715.5692,130,6303.81000000,12236.6533,0
