,0,1,2,3,4,5,6
0,date,close,gain,loss,avg_gain,avg_loss,rsi
1,1,3.1002,0,0,0,0,0
2,2,3.0076,0,0.09,0,0,0
3,3,2.8737,0,0.13,0,0,0
4,4,2.7795,0,0.09,0,0,0
5,5,2.9629,0.18,0,0,0,0
6,6,2.8532,0,0.11,0,0,0
7,7,3.1392,0.29,0,0,0,0
8,8,3.1917,0.05,0,0,0,0
9,9,3.1038,0,0.09,0,0,0
10,10,3.1813,0.08,0,0,0,0
11,11,2.9222,0,0.26,0,0,0
12,12,2.9539,0.03,0,0,0,0
13,13,2.8904,0,0.06,0,0,0
14,14,2.8693,0,0.02,0,0,0
